Location,Tournament,Winner,Loser,B365W,B365L,year,tourney_id
Brisbane,Brisbane International,Gasquet R.,Nieminen J.,1.44,2.62,2010,1.0
Brisbane,Brisbane International,Odesnik W.,Clement A.,2.25,1.57,2010,1.0
Brisbane,Brisbane International,Gicquel M.,Petzschner P.,1.61,2.2,2010,1.0
Brisbane,Brisbane International,Falla A.,Chardy J.,2.62,1.44,2010,1.0
Brisbane,Brisbane International,Levy H.,Llodra M.,3.0,1.36,2010,1.0
Brisbane,Brisbane International,Bellucci T.,Chela J.I.,1.61,2.2,2010,1.0
Brisbane,Brisbane International,Stepanek R.,Millman J.,1.04,10.0,2010,1.0
Brisbane,Brisbane International,Roddick A.,Luczak P.,1.08,7.0,2010,1.0
Brisbane,Brisbane International,Dolgopolov O.,Tomic B.,1.72,2.0,2010,1.0
Brisbane,Brisbane International,Berdych T.,Lindahl N.,1.12,5.5,2010,1.0
Brisbane,Brisbane International,Baghdatis M.,Fish M.,1.36,3.0,2010,1.0
Brisbane,Brisbane International,Ball C.,Zverev M.,2.1,1.66,2010,1.0
Brisbane,Brisbane International,Blake J.,Querrey S.,1.72,2.0,2010,1.0
Brisbane,Brisbane International,Ebden M.,Melzer J.,5.0,1.14,2010,1.0
Brisbane,Brisbane International,Serra F.,Reister J.,1.44,2.62,2010,1.0
Brisbane,Brisbane International,Monfils G.,Dent T.,1.22,4.0,2010,1.0
Brisbane,Brisbane International,Blake J.,Gicquel M.,1.36,3.0,2010,1.0
Brisbane,Brisbane International,Stepanek R.,Dolgopolov O.,1.12,5.5,2010,1.0
Brisbane,Brisbane International,Odesnik W.,Falla A.,2.25,1.57,2010,1.0
Brisbane,Brisbane International,Roddick A.,Ball C.,1.06,8.0,2010,1.0
Brisbane,Brisbane International,Gasquet R.,Ebden M.,1.2,4.33,2010,1.0
Brisbane,Brisbane International,Bellucci T.,Levy H.,1.4,2.75,2010,1.0
Brisbane,Brisbane International,Monfils G.,Serra F.,1.16,4.5,2010,1.0
Brisbane,Brisbane International,Berdych T.,Baghdatis M.,1.8,1.9,2010,1.0
Brisbane,Brisbane International,Stepanek R.,Odesnik W.,1.2,4.33,2010,1.0
Brisbane,Brisbane International,Monfils G.,Blake J.,1.57,2.25,2010,1.0
Brisbane,Brisbane International,Berdych T.,Bellucci T.,1.22,4.0,2010,1.0
Brisbane,Brisbane International,Roddick A.,Gasquet R.,1.25,3.75,2010,1.0
Brisbane,Brisbane International,Stepanek R.,Monfils G.,2.2,1.61,2010,1.0
Brisbane,Brisbane International,Roddick A.,Berdych T.,1.3,3.4,2010,1.0
Brisbane,Brisbane International,Roddick A.,Stepanek R.,1.4,2.87,2010,1.0
