p1,p2,rank,fs,w1sp,w2sp,wsp,wrp,tpw,aces,df,bpc,bps,bpo,bpw,tmw,complete,serveadv,h2h,fatigue,uncertainty,winner,tourney_id,year,p1_odd,p2_odd
Andrey Rublev,Corentin Moutet,-58.0,-0.023606304509229403,0.04238792236458011,0.0646068269709208,0.045489542274536936,0.024630021312055158,0.03904643246291152,0.3336795667330597,-0.17809370354491433,-0.16752612005948975,0.10676032093325516,0.04774177189795946,0.09009621765336256,0.2615384615384616,0.0318,0.0701195635865921,0.0,-0.3333,0.11867076763351027,0,3.0,2020,1.22,4.33
Corentin Moutet,Stan Wawrinka,66.0,0.0942765373750537,-0.09080278502854244,-0.0646387413405789,-0.06624887773668063,0.010912183501590124,-0.02460174649233671,-0.43472220039539855,0.2248025333324773,0.15350617116437204,-0.14103548181761896,-0.07664506388240921,0.16729962443339494,0.0038888888888888853,-0.0155,-0.05533669423509052,0.0,0.3333,0.07936481556147146,0,3.0,2020,3.5,1.3
Andrey Rublev,Miomir Kecmanovic,-39.0,-0.02582025805376376,0.03609367379543616,-0.049477840465925405,-0.007862395890894991,0.0647973853990968,0.024864225442684903,0.1598328620202336,0.16249367577535778,-0.05137429072488375,0.0012681711323467848,0.26812015574603043,0.065982667924886,0.1350877192982456,0.0383,0.05693498950820181,0.0,0.0,0.06575551449100876,0,3.0,2020,1.66,2.2
Aljaz Bedene,Stan Wawrinka,43.0,-0.009357358964941056,-0.026806920662554082,-0.08325445446110198,-0.052562377103867235,-0.004634749472089972,-0.02976203956717693,0.08209626033599393,0.04247181371344233,0.15624799691992586,-0.07894000746539677,-0.023874624798324917,-0.02432653534911033,-0.2664021164021164,-0.0219,-0.05719712657595721,-0.5,0.4412,0.02311770884188481,1,3.0,2020,3.4,1.33
Fernando Verdasco,Corentin Moutet,-32.0,0.025223188611298242,0.060921588161420674,0.041014172139453416,0.06009809603557481,0.017004167658220715,0.032473118558551006,0.2843102262308859,-0.1061104498530206,-0.1292075159463255,0.0842660494687476,0.05551037604821313,-0.07502831193320714,0.09358974358974363,0.032,0.07710226369379553,0.0,0.0108,0.12507714582245702,1,3.0,2020,1.61,2.3
Pierre Hugues Herbert,Andrey Rublev,42.0,0.017032227397367542,0.01279394532360345,0.027005082715890028,0.021827939407140232,-0.04903520704204002,-0.008038248055256103,0.1938222111766854,-0.02811966749939809,-0.021231049945055758,0.09489948195413213,-0.20479428120343207,-0.06154620297236374,-0.05000000000000005,-0.0236,-0.027207267634899786,0.0,0.3208,0.02153836984952831,1,3.0,2020,4.0,1.25
Jeremy Chardy,Stan Wawrinka,39.0,0.03829359740540461,-0.01973979334165088,-0.07207569386416135,-0.03254541032026781,-0.027376084962407843,-0.027806922850685426,0.08904904216316789,0.19294304638631946,0.09190389156351132,-0.05343320512294236,-0.07233099136425991,-0.048768541494227664,-0.2292792792792793,-0.0296,-0.05992149528267565,-1.0,1.0,0.015444356244392297,1,3.0,2020,3.4,1.3
Alexander Bublik,Aljaz Bedene,-3.0,0.025121411260825455,0.007126545954710628,-0.039678755530848375,-0.0067536405396643176,-0.034886765510265816,-0.016309267744959274,0.16549031441050732,0.30090368547625845,-0.09104343218017964,-0.09052246989979452,-0.06179085310532612,-0.13465017764915446,-0.013157894736842146,-0.0243,-0.041640406049930134,0.0,-0.1915,0.15344187136005433,1,3.0,2020,2.1,1.66
Corentin Moutet,Milos Raonic,49.0,0.049308126032153836,-0.17201848555846866,-0.1204467819595048,-0.14755436154356186,0.01902769520559544,-0.05775583087496994,-1.0939714688260145,0.13396347919305768,0.31209732866625683,-0.26189709309248954,0.08480397968380332,0.1403125592013893,-0.3035714285714285,-0.0399,-0.1285266663379664,0.0,1.0,0.17836153353413256,0,3.0,2020,2.75,1.4
Fernando Verdasco,Filip Krajinovic,9.0,-0.004268703096046989,0.04300012985640589,-0.011815497787486251,0.021012076313680184,0.002281509194230036,0.010723984690849007,0.1320127002800477,0.11979366144974432,-0.04339678758831556,-0.01372797596510944,-0.0625599982470354,0.030379428494590355,-0.0026515151515151825,0.0091,0.02329358550791022,-1.0,-0.1915,0.032502414651375135,0,3.0,2020,2.25,1.57
Cem Ilkel,Marton Fucsovics,209.0,0.048741268624184035,-0.09074324658960696,-0.15328451047154726,-0.11182706105002138,-0.16266929255585785,-0.13089133753770188,0.04669214530325641,0.08088121881741392,0.10643169052790903,-0.3070728086825327,-0.581145368437309,-0.10981377577230984,-0.75,-0.1447,-0.2744963536058792,0.0,-0.0714,0.9170871255331062,1,3.0,2020,5.0,1.16
Miomir Kecmanovic,Jo-Wilfried Tsonga,32.0,0.017224879621411948,-0.10644795722235867,0.005239171221956607,-0.05606703366714494,-0.02479379126139797,-0.03404683405634934,-0.4650170251683824,-0.07710229886025978,0.2124406750422024,-0.19788478902278084,-0.10445440117921484,-0.041326564107365286,-0.3561403508771929,-0.0356,-0.08086082492854291,0.0,1.0,0.06476804984946385,0,3.0,2020,2.1,1.66
Laslo Djere,Pierre Hugues Herbert,-26.0,0.007370603262026655,-0.07201190403495727,-0.011934718463796344,-0.04622646068833014,0.02345871432973756,-0.017481417181345438,-0.27598795528905185,-0.007176314060461929,0.13386680735739642,-0.1582228560560387,0.1912158958865634,-0.04374037731220787,-0.13045977011494253,-0.0008,-0.02276774635859257,0.0,0.1163,0.06501424430378225,1,3.0,2020,2.62,1.44
Andrey Rublev,Mikhail Kukushkin,-43.0,-0.03658148685770046,0.06435171016946006,-0.0466240039533819,0.014723137428899304,0.025822249222698712,0.01770382288502137,0.2540969641562547,0.18867836645136624,-0.050374370367786366,-0.005806757573928123,0.09936204605613276,0.013994784433418785,0.06326530612244903,0.0214,0.04054538665159802,-0.5,-1.0,0.02099552538412986,0,3.0,2020,1.3,3.4
